Date,Open,High,Low,Close
15 11 2018,5917.2,5939.54,5403.42,5753.4
14 11 2018,6458.98,6482.84,5656.87,5922.41
13 11 2018,6451.68,6498,6391.15,6457.66
12 11 2018,6450.71,6497,6421,6453.07
11 11 2018,6435.16,6462.14,6355,6449.81
10 11 2018,6419.99,6475.55,6411,6433.05
9 11 2018,6479.84,6511.53,6391.01,6419.99
8 11 2018,6578.46,6594,6468.22,6479.84
7 11 2018,6522.73,6615.15,6509,6578.46
6 11 2018,6468.99,6531.31,6445.18,6519.11
5 11 2018,6485.85,6504.39,6431.02,6468.99
4 11 2018,6388,6525,6359,6485.85
3 11 2018,6432.8,6439.97,6345,6387.09
2 11 2018,6410,6460.34,6388.2,6433.98
1 11 2018,6369.52,6442.65,6348.66,6410
31 10 2018,6330.01,6428,6245.02,6371.93
30 10 2018,6344.5,6395,6317.01,6330.87
29 10 2018,6489.93,6505.01,6315,6344.5
28 10 2018,6505.6,6514.17,6453,6489.93
27 10 2018,6538.63,6558.35,6463.04,6505.6
26 10 2018,6528.13,6600,6515.01,6538.63
25 10 2018,6566.81,6575.09,6502.8,6528.09
24 10 2018,6553.51,6630,6547.53,6565.5
23 10 2018,6581.2,6595,6515.45,6553.51
22 10 2018,6590.12,6639,6535.27,6581.2
21 10 2018,6585.72,6663.9,6580,6590.11
20 10 2018,6528.88,6617.65,6505.55,6588.4
19 10 2018,6618.96,6648.14,6523,6528.88
18 10 2018,6739.01,6796,6567,6618.96
17 10 2018,6762.76,6811.12,6676.01,6740.89
16 10 2018,6752.5,6900,6670,6759.27
15 10 2018,6339.34,7680,6300,6752.5
14 10 2018,6332.92,6416,6308,6339.34
13 10 2018,6298,6345,6285.07,6332.93
12 10 2018,6252.71,6360,6209,6298.01
11 10 2018,6630.21,6633.92,6205,6252.68
10 10 2018,6656.67,6659.95,6530,6631
9 10 2018,6673.01,6685.38,6607,6656.61
8 10 2018,6615.26,6715.6,6587,6673.01
7 10 2018,6596.44,6640,6525,6615.26
6 10 2018,6635.65,6651,6566.77,6594.27
5 10 2018,6591.69,6697,6543.08,6635.65
4 10 2018,6510.01,6643.46,6505.09,6593.79
