date,open,high,low,close
 03 10 2020,345.6,351,343.7,345.95
 02 10 2020,352.83,354.55,334.24,345.6
 01 10 2020,359.83,370.45,345.51,352.85
 30 09 2020,359.78,361.5,351.56,359.83
 29 09 2020,353.91,360.63,350.45,359.79
 28 09 2020,357.58,368.2,351.7,353.96
 27 09 2020,353.95,362.14,347.24,357.49
 26 09 2020,351.93,356.4,345.88,353.92
 25 09 2020,348.97,358,337.58,351.92
 24 09 2020,320.72,353.1,316.67,348.97
 23 09 2020,344.18,344.65,313.29,320.72
 22 09 2020,340.31,346.91,335.34,344.21
 21 09 2020,371.04,376.8,331,340.36
 20 09 2020,385.25,385.45,365,371.04
 19 09 2020,384.4,388.72,377,385.25
 18 09 2020,389.35,392.58,375.33,384.39
 17 09 2020,365.04,394.14,363.3,389.36
 16 09 2020,364.05,373.45,355,365.11
 15 09 2020,377.12,382.47,362.34,364.06
 14 09 2020,366.43,384.64,355.73,377.12
 13 09 2020,387.78,390.43,350,366.42
 12 09 2020,373.62,388.57,364.73,387.78
 11 09 2020,367.93,375.27,355.49,373.63
 10 09 2020,350.85,377.25,349.91,367.93
 09 09 2020,337.41,359,330.51,350.85
 08 09 2020,353.59,356.58,325.38,337.39
 07 09 2020,352.85,358.51,323,353.59
 06 09 2020,335.04,360,316.1,352.8
 05 09 2020,385.3,395,308.42,335.01
 04 09 2020,381.35,400.21,357,385.26
 03 09 2020,439.5,450.7,372,381.4
 02 09 2020,475.4,481.39,420,439.5
 01 09 2020,433.8,488.84,429.03,475.4
 31 08 2020,428.94,439,418.04,433.79
 30 08 2020,398.65,429.89,398.3,428.94
 29 08 2020,395.1,405.69,391.88,398.65
 28 08 2020,383.31,398,379.75,395.11
 27 08 2020,385.81,397.1,371.48,383.27
 26 08 2020,382.91,392.91,377.37,385.81
 25 08 2020,407.68,409.06,370,382.93
 24 08 2020,390.72,410.42,387.44,407.68
 23 08 2020,395.23,396.95,383.15,390.71
 22 08 2020,387.93,397.04,379.92,395.24
 21 08 2020,415.94,418.68,385.1,387.97
 20 08 2020,407.46,418.98,402.07,415.94
 19 08 2020,421.92,426.75,393.25,407.46
 18 08 2020,430.89,433.81,415,421.95
 17 08 2020,433.61,446,420.37,430.89
 16 08 2020,432.3,436.99,412.47,433.62
 15 08 2020,438.12,442.94,427.02,432.32
 14 08 2020,424.54,444.71,417.05,438.11
 13 08 2020,387.18,431.49,376.59,424.54
 12 08 2020,378.99,389.23,365.85,387.18
 11 08 2020,395.43,398.21,367,379
 10 08 2020,390.14,399.18,385.13,395.44
 09 08 2020,397.05,400,383.36,390.14
 08 08 2020,379.34,397.05,375.79,397.03
 07 08 2020,394.77,398.26,362.85,379.34
 06 08 2020,400.72,403.66,390.51,394.77
 05 08 2020,389.59,407,384.11,400.72
 04 08 2020,385.91,402.98,380.77,389.61
 03 08 2020,372.45,398,366.5,385.94
 02 08 2020,387.01,415.85,325,372.42
 01 08 2020,346.32,392.67,343.07,387
 31 07 2020,334.82,349.45,328.4,346.33
 30 07 2020,317.76,342,314.05,334.87
 29 07 2020,316.77,325,312.38,317.71
 28 07 2020,321.95,326.8,305.86,316.77
 27 07 2020,311.02,333.31,310.78,321.93
 26 07 2020,305.31,318.75,299,311
 25 07 2020,279.15,308.94,279.09,305.26
 24 07 2020,275.31,287.34,266,279.15
 23 07 2020,263.75,279.98,259.7,275.3
 22 07 2020,245.53,269.61,241.51,263.74
 21 07 2020,236,246.66,235.57,245.59
 20 07 2020,239.12,239.72,234.05,236.01
 19 07 2020,235.67,239.92,233.28,239.11
 18 07 2020,232.66,236.8,232.32,235.67
 17 07 2020,233.58,234.84,231.65,232.67
 16 07 2020,238.59,239.39,230.02,233.57
 15 07 2020,240.45,241.45,236.83,238.61
 14 07 2020,239.5,242.09,237,240.44
 13 07 2020,242.76,245.33,237.33,239.5
 12 07 2020,239.19,244,236.52,242.79
 11 07 2020,241.27,241.67,237.54,239.19
 10 07 2020,241.97,242.16,235.72,241.26
 09 07 2020,246.94,247.9,237.88,241.98
 08 07 2020,239.39,248.88,237.78,246.95
 07 07 2020,241.6,243.77,234.4,239.39
 06 07 2020,227.54,242,226.93,241.6
 05 07 2020,229.24,229.85,223.05,227.56
 04 07 2020,224.86,230.71,224.43,229.17
 03 07 2020,226.46,228.13,223.97,224.87
 02 07 2020,230.99,232.01,222.87,226.46
 01 07 2020,225.59,232.71,224.16,230.99
 30 06 2020,227.98,228.7,222.91,225.6
 29 06 2020,224.89,229.96,221.26,227.93
 28 06 2020,220.94,227.96,218.32,224.93
 27 06 2020,229.66,231.42,216,220.94
 26 06 2020,232.49,233.61,227.75,229.64
 25 06 2020,234.57,235.39,227.56,232.5
 24 06 2020,243.15,249.24,231.07,234.58
